Phase,Week,Day,Focus,Specific Tasks / Context,Recommended Resource,Resource Type,Why this resource?,Resource Link,Status,Notes
PHASE 1: REVENUE ARCHITECT,W1,1,AI TOOLCHAIN SETUP,"Cursor config, .cursorrules file, context management. Deliverable: Configured AI Toolchain.","Cursor Official Documentation + Udemy: Master Visual Studio Code",Docs/Course,"Cursor is too new for Udemy courses. You need to read the official Rules docs.","https://docs.cursor.com/",,
PHASE 1: REVENUE ARCHITECT,W1,2,Advanced n8n,"Complex JSON parsing, Loop nodes, State management.","Udemy: The Complete n8n Workflow Automation Course",Course,"Covers loops, JSON, and state management specifically in the advanced sections.","https://www.udemy.com/course/n8n-workflow-automation-masterclass/",,
PHASE 1: REVENUE ARCHITECT,W1,3,Data Schema,"Implementing Postgres structure (Neon/Supabase).","Codecademy: Design Databases With PostgreSQL",Course,"Interactive practice on creating tables and schemas explicitly for Postgres.","https://www.codecademy.com/learn/design-databases-with-postgresql",,
PHASE 1: REVENUE ARCHITECT,W1,4,Git: Basics,"init, add, commit, push (saving your work).","Codecademy: Learn Git & GitHub",Course,"Interactive terminal practice. You cannot vibe code Git; you must type these commands.","https://www.codecademy.com/learn/learn-git",,
PHASE 1: REVENUE ARCHITECT,W1,5,Git: Workflow,"branch, merge, PR workflow.","Codecademy: Learn Git & GitHub (Continued)",Course,"Covers branching and merging, critical for the Review phase of your role.","https://www.codecademy.com/learn/learn-git",,
PHASE 1: REVENUE ARCHITECT,W1,6,BUILD DAY,"Self-Healing Agent stored in GitHub repo.","Project: Apply W1 skills + Udemy: LangChain Masterclass (Optional ref)",Project,"The best learning here is doing. Use the toolchain you set up on Day 1.","https://www.udemy.com/course/langchain-masterclass/",,
PHASE 1: REVENUE ARCHITECT,W2,1,API Authentication,OAuth2 flows.,"Udemy: The Complete OAuth2 & OpenID Connect Guide",Course,"OAuth is complex; this video course breaks down the Flows conceptually.","https://www.udemy.com/course/oauth-2-openid-connect-masterclass/",,
PHASE 1: REVENUE ARCHITECT,W2,2,API Security,"API Key rotation, secure storage.","Udemy: API Security: The Complete Guide",Course,"Teaches you where to hide keys so you don't leak them (critical CTO skill).","https://www.udemy.com/course/api-security-the-complete-guide/",,
PHASE 1: REVENUE ARCHITECT,W2,3,Webhooks,"Real-time triggers, signature verification.","Udemy: Node.js API Masterclass (Webhook Section)",Course,"Focus specifically on the consuming webhooks lectures.","https://www.udemy.com/course/nodejs-api-masterclass/",,
PHASE 1: REVENUE ARCHITECT,W2,4,Rate Limiting,"Handling 429 errors, backoff strategies.","YouTube/Udemy: System Design Interview (Rate Limiting Section)",Video,"Rate limiting is an architectural concept; learn the theory here.","https://www.udemy.com/course/system-design-interview-prep/",,
PHASE 1: REVENUE ARCHITECT,W2,5,Error Codes,"2xx, 4xx, 5xx handling.","MDN Web Docs: HTTP Response Status Codes",Docs,"Best source. Don't take a course; just read the list and understand the groups.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status",,
PHASE 1: REVENUE ARCHITECT,W2,6,BUILD DAY,"Listening Agent that populates your DB.","Project: Apply W2 skills (Webhooks + DB)",Project,"Combine the Webhook learning (Day 3) with Schema (W1 D3).",,,
PHASE 1: REVENUE ARCHITECT,W3,1,Function Calling,Forcing strict JSON output.,"DeepLearning.ai: Functions, Tools and Agents with OpenAI",Course (Free),"Better than Udemy for this specific Function Calling topic.","https://www.deeplearning.ai/short-courses/functions-tools-agents-langchain/",,
PHASE 1: REVENUE ARCHITECT,W3,2,System Prompts,Persona architecture.,"Udemy: ChatGPT Prompt Engineering for Developers",Course,"Focus on the Role and System Message sections.","https://www.udemy.com/course/chatgpt-prompt-engineering-for-developers/",,
PHASE 1: REVENUE ARCHITECT,W3,3,Sanitization,Regex cleaning of AI output.,"Codecademy: Learn Regular Expressions (Regex)",Course,"Interactive. You need to know how to write patterns to clean AI mess.","https://www.codecademy.com/learn/learn-regular-expressions",,
PHASE 1: REVENUE ARCHITECT,W3,4,Token Optimization,Context window management.,"OpenAI Cookbook: Counting Tokens",Docs,"Technical reading. Learn how tokens are counted to save money.","https://github.com/openai/openai-cookbook/blob/main/examples/How_to_count_tokens_with_tiktoken.ipynb",,
PHASE 1: REVENUE ARCHITECT,W3,5,Streaming,"Streaming responses, cost management.","Udemy: Build AI Apps with React & Next.js (Streaming Section)",Course,"Shows how to handle the specific typewriter effect streaming data.","https://www.udemy.com/course/build-ai-apps-with-react-nextjs-openai-clerk-mongodb/",,
PHASE 1: REVENUE ARCHITECT,W3,6,BUILD DAY,"AI Node that parses text into your schema.","Project: Apply W3 skills",Project,"Combine Regex (Day 3) with JSON forcing (Day 1).",,,
PHASE 1: REVENUE ARCHITECT,W4,1,DB Hosting,Supabase/Neon setup.,"Udemy: Supabase - The Complete Guide",Course,"Covers hosting setup specifically for the tools you listed.","https://www.udemy.com/course/supabase-the-complete-guide/",,
PHASE 1: REVENUE ARCHITECT,W4,2,Row Level Security,"RLS: Locking down client data.","Supabase Docs: Row Level Security",Docs,"This is specific to Postgres/Supabase. The docs are the best tutorial.","https://supabase.com/docs/guides/auth/row-level-security",,
PHASE 1: REVENUE ARCHITECT,W4,3,Env Variables,".env management, secrets.","Codecademy: Learn Node.js (Configuration section)",Course,"Teaches why and how to use process.env.","https://www.codecademy.com/learn/learn-node-js",,
PHASE 1: REVENUE ARCHITECT,W4,4,Client UI,"Low-code dashboard (Streamlit/Retool).","Udemy: Streamlit for Data Science and Machine Learning",Course,"Quickest way to learn Streamlit for the dashboard requirement.","https://www.udemy.com/course/streamlit-python/",,
PHASE 1: REVENUE ARCHITECT,W4,5,PRD WRITING,"CTO SKILL: Writing 1-page technical specs.","Article/Template: Reforge/Lenny's Newsletter on PRDs",Article,"No course for this. Look for Product Requirement Document Examples online.","https://www.lennysnewsletter.com/p/how-to-write-a-prd",,
PHASE 1: REVENUE ARCHITECT,W4,6,BUILD + INTEGRATE,"Package for client handoff. Apply to Track A.","Project: Create the Inbox Guard or similar",Project,"CRITICAL: Use the PRD template you made on Day 5.",,,
PHASE 2: BACKEND ENGINEER,W5,1,JSONB Querying,High-performance JSON queries.,"Udemy: The Complete SQL Bootcamp (Postgres/JSON section)",Course,"Ensure the course specifically covers PostgreSQL JSONB operators ->>.","https://www.udemy.com/course/the-complete-sql-bootcamp/",,
PHASE 2: BACKEND ENGINEER,W5,2,Complex JOINs,"Subqueries, Inner/Outer Joins.","Codecademy: Analyze Data with SQL",Course,"Drills you on JOIN logic until it becomes muscle memory.","https://www.codecademy.com/learn/analyze-data-with-sql",,
PHASE 2: BACKEND ENGINEER,W5,3,Indexing Strategy,B-Tree vs GIN.,"Udemy: PostgreSQL Database Administration (Performance Tuning)",Course,"Explains when to index, not just how.","https://www.udemy.com/course/postgresql-database-administration-on-windows-linux/",,
PHASE 2: BACKEND ENGINEER,W5,4,Optimization,EXPLAIN ANALYZE.,"PostgreSQL Documentation: Performance",Docs,"Read about Explain Plans. Advanced topic, docs are best.","https://www.postgresql.org/docs/current/performance-tips.html",,
PHASE 2: BACKEND ENGINEER,W5,5,Transactions,"ACID: Data integrity.","Udemy: SQL Bootcamp (Transactions Section)",Course,"Learn BEGIN, COMMIT, ROLLBACK.","https://www.udemy.com/course/the-complete-sql-bootcamp/",,
PHASE 2: BACKEND ENGINEER,W5,6,BUILD DAY,Optimized schema for your SaaS.,"Project: Design the Tour Harmony DB",Project,"Apply Indexing (Day 3) and JSONB (Day 1).",,,
PHASE 2: BACKEND ENGINEER,W6,1,Python Data,"Data structures: Lists, Dicts, Sets.","Codecademy: Learn Python 3 (Lists/Dictionaries)",Course,"Foundation. Essential for manipulating AI data.","https://www.codecademy.com/learn/learn-python-3",,
PHASE 2: BACKEND ENGINEER,W6,2,Python Flow,"Control flow, list comprehensions.","Codecademy: Learn Python 3 (Loops)",Course,"List comprehensions are Pythonic and used everywhere in AI code.","https://www.codecademy.com/learn/learn-python-3",,
PHASE 2: BACKEND ENGINEER,W6,3,Pydantic,Strict data validation.,"Udemy: FastAPI - The Complete Course (Pydantic Section)",Course,"Pydantic is the heart of FastAPI. Learn it here.","https://www.udemy.com/course/fastapi-the-complete-course/",,
PHASE 2: BACKEND ENGINEER,W6,4,AsyncIO,Concurrent operations.,"Real Python: Async IO in Python: A Complete Walkthrough",Article,"Text tutorial. Hard concept; text often explains it better than video.","https://realpython.com/async-io-python/",,
PHASE 2: BACKEND ENGINEER,W6,5,Error Handling,"try/except, logging to Sentry.","Codecademy: Learn Python 3 (Errors)",Course,"Learn to catch errors so your app doesn't crash.","https://www.codecademy.com/learn/learn-python-3",,
PHASE 2: BACKEND ENGINEER,W6,6,BUILD DAY,Robust data processing script.,"Project: Python script for data cleaning",Project,"Use Pydantic (Day 3) to validate the data.",,,
PHASE 2: BACKEND ENGINEER,W7,1,FastAPI Setup,"Setup, basic routes.","Udemy: FastAPI - The Complete Course (Beginner Section)",Course,"The gold standard for modern Python backends.","https://www.udemy.com/course/fastapi-the-complete-course/",,
PHASE 2: BACKEND ENGINEER,W7,2,Validation,"Pydantic models, request/response validation.","Udemy: FastAPI - The Complete Course (Models Section)",Course,"Connects your Week 6 Pydantic knowledge to the API.","https://www.udemy.com/course/fastapi-the-complete-course/",,
PHASE 2: BACKEND ENGINEER,W7,3,Dependency Injection,DB connections.,"Udemy: FastAPI - The Complete Course (Dependency Section)",Course,"Critical for database management in FastAPI.","https://www.udemy.com/course/fastapi-the-complete-course/",,
PHASE 2: BACKEND ENGINEER,W7,4,Background Tasks,Offloading heavy work.,"Udemy: FastAPI - The Complete Course (Background Tasks)",Course,"Essential for AI apps where generation takes 10+ seconds.","https://www.udemy.com/course/fastapi-the-complete-course/",,
PHASE 2: BACKEND ENGINEER,W7,5,Docker,Containerizing your API.,"Codecademy: Learn Docker",Course,"Interactive. Teaches you to write a Dockerfile.","https://www.codecademy.com/learn/learn-docker",,
PHASE 2: BACKEND ENGINEER,W7,6,CI/CD + PYTEST,CTO SKILL: Automated testing.,"Udemy: Testing in Python with Pytest",Course,"Focus on Writing Tests so you can direct the AI to do it.","https://www.udemy.com/course/testing-in-python-with-pytest/",,
PHASE 2: BACKEND ENGINEER,W8,1,Embeddings,How text becomes vectors.,"Udemy: LangChain & Vector Databases",Course,"Conceptual understanding of what an embedding vector actually is.","https://www.udemy.com/course/langchain-masterclass/",,
PHASE 2: BACKEND ENGINEER,W8,2,pgvector,"Installing, configuring.","Supabase Docs: pgvector guide",Docs,"Specific implementation for your chosen database (Postgres).","https://supabase.com/docs/guides/database/extensions/pgvector",,
PHASE 2: BACKEND ENGINEER,W8,3,Similarity Search,Cosine similarity SQL.,"Supabase Docs: Vector Search",Docs,"The SQL queries needed to find related text.","https://supabase.com/docs/guides/ai/vector-columns",,
PHASE 2: BACKEND ENGINEER,W8,4,RAG Pipeline,Retrieval → Context → Generation.,"Udemy: Master RAG with LangChain",Course,"The core logic of Chat with your data.","https://www.udemy.com/course/master-rag-with-langchain/",,
PHASE 2: BACKEND ENGINEER,W8,5,Context Mgmt,Efficient prompt stuffing.,"Article: Pinecone Learning Center - Context Windows",Article,"Good reading on how to fit data into the prompt limit.","https://www.pinecone.io/learn/chunking-strategies/",,
PHASE 2: BACKEND ENGINEER,W8,6,BUILD + INTEGRATE,Working RAG system. Apply to Client.,"Project: Build the Brain of the system",Project,"Combine pgvector (Day 2) with FastAPI (W7).",,,
PHASE 3: AI ARCHITECT,W9,1,MCP Basics,"What it is, why it matters.","Anthropic: Model Context Protocol Introduction",Docs,"ONLY SOURCE: This is cutting edge. Read the official announcement/docs.","https://modelcontextprotocol.io/introduction",,
PHASE 3: AI ARCHITECT,W9,2,MCP Architecture,"Servers, resources, tools.","Anthropic/Github: MCP SDK Documentation",Docs,"Review the architecture diagrams in the repo.","https://github.com/modelcontextprotocol",,
PHASE 3: AI ARCHITECT,W9,3,Building Server,Exposing your DB to AI.,"Tutorial: Anthropic MCP Quickstart",Tutorial,"Follow the Build a Server guide step-by-step.","https://modelcontextprotocol.io/quickstart",,
PHASE 3: AI ARCHITECT,W9,4,Tool Definitions,Teaching AI to query safely.,"Udemy: LangChain (Tools section as proxy)",Course,"The concept of Tools is similar in LangChain, useful for theory.","https://www.udemy.com/course/langchain-masterclass/",,
PHASE 3: AI ARCHITECT,W9,5,Security,"Permissions, sandboxing.","Docs: MCP Security Best Practices",Docs,"Critical reading to ensure the AI doesn't delete your DB.","https://modelcontextprotocol.io/docs/concepts/security",,
PHASE 3: AI ARCHITECT,W9,6,BUILD DAY,Claude connected to Postgres via MCP.,"Project: Your first Agentic DB connection",Project,"This is the differentiator feature.",,,
PHASE 3: AI ARCHITECT,W10,1,Agentic RAG,Agents that DECIDE what to retrieve.,"DeepLearning.ai: Building Agentic RAG with LlamaIndex",Course,"Excellent short course on Agentic vs Static RAG.","https://www.deeplearning.ai/short-courses/building-agentic-rag-with-llamaindex/",,
PHASE 3: AI ARCHITECT,W10,2,Query Routing,Choosing retrieval strategy.,"Udemy: Advanced RAG Techniques",Course,"Learn when to search Wiki vs Database vs Web.","https://www.udemy.com/course/advanced-rag-techniques-llm/",,
PHASE 3: AI ARCHITECT,W10,3,Self-Correction,Retry with different queries.,"Paper/Article: Self-RAG: Learning to Retrieve, Generate, and Critique",Article,"conceptual reading on error loops in AI.","https://arxiv.org/abs/2310.11511",,
PHASE 3: AI ARCHITECT,W10,4,Multi-step,Chained searches.,"Udemy: LangChain: Chat with Your Data (Chains section)",Course,"How to link Step A output to Step B input.","https://www.udemy.com/course/langchain-masterclass/",,
PHASE 3: AI ARCHITECT,W10,5,COST MODELING,CTO SKILL: Cost per user session.,"Excel/Sheets: Build your own Calculator",Action,"You need to build this yourself. No course. Research pricing pages.",,,
PHASE 3: AI ARCHITECT,W10,6,BUILD DAY,Retrieval agent + Cost spreadsheet.,"Project: The Finance & Logic deliverable",Project,"Create the sheet to track the agent you built.",,,
PHASE 3: AI ARCHITECT,W11,1,OWASP Top 10,Overview of risks.,"Udemy: The Complete Cyber Security Course (Web App Section)",Course,"The bible of web security.","https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/",,
PHASE 3: AI ARCHITECT,W11,2,SQL Injection,"Prevention, parameterized queries.","PortSwigger: SQL Injection Academy (Free)",Lab,"Best interactive labs for hacking/patching SQLi.","https://portswigger.net/web-security/sql-injection",,
PHASE 3: AI ARCHITECT,W11,3,XSS & CSRF,"Input sanitization, tokens.","PortSwigger: Cross-site scripting (XSS)",Lab,"Learn how scripts get injected and how to block them.","https://portswigger.net/web-security/cross-site-scripting",,
PHASE 3: AI ARCHITECT,W11,4,Rate Limiting,Protecting your API.,"Review: Week 2 Day 4 materials",Review,"Re-visit the architecture, now applied to security.","https://www.udemy.com/course/system-design-interview-prep/",,
PHASE 3: AI ARCHITECT,W11,5,Security Headers,CORS CSP.,"MDN Web Docs: Content Security Policy (CSP)",Docs,"Technical reference for what headers to set in FastAPI.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy",,
PHASE 3: AI ARCHITECT,W11,6,BUILD DAY,Security + Privacy Checklists.,"Deliverable: The CTO Audit Doc",Deliverable,"Create the checklist you will use to audit future code.",,,
PHASE 3: AI ARCHITECT,W12,1,LangGraph,Stateful multi-agent flows.,"LangChain Docs: LangGraph Tutorials",Docs,"Official docs are the only reliable source right now.","https://langchain-ai.github.io/langgraph/tutorials/",,
PHASE 3: AI ARCHITECT,W12,2,ReAct Pattern,Reason + Act loops.,"Udemy: LangChain Masterclass (Agents Section)",Course,"Covers the specific Thought -> Action -> Observation loop.","https://www.udemy.com/course/langchain-masterclass/",,
PHASE 3: AI ARCHITECT,W12,3,Multi-Agent,Researcher → Writer → Critic.,"DeepLearning.ai: Multi AI Agent Systems with crewAI",Course,"Great conceptual overview of roles.","https://www.deeplearning.ai/short-courses/multi-ai-agent-systems-with-crewai/",,
PHASE 3: AI ARCHITECT,W12,4,Eval Frameworks,Automated AI quality testing.,"Udemy: LLM Ops: Evaluation & Monitoring",Course,"How to know if your AI is getting dumber.","https://www.udemy.com/course/llmops-generative-ai-production/",,
PHASE 3: AI ARCHITECT,W12,5,Feedback Loops,Using success/failure data.,"Blog: OpenAI Human in the loop",Article,"Reading on how to use user feedback to improve prompts.","https://platform.openai.com/docs/guides/fine-tuning",,
PHASE 3: AI ARCHITECT,W12,6,BUILD + INTEGRATE,Multi-agent system. Apply to Client.,"Project: The Team of Agents",Project,"Integrate LangGraph into your stack.",,,
PHASE 4: SAAS BUILD,W13,1,ES6+ Syntax,"let/const, arrow functions, destructuring.","Codecademy: Learn JavaScript (ES6 Section)",Course,"Modern React requires modern JS syntax.","https://www.codecademy.com/learn/introduction-to-javascript",,
PHASE 4: SAAS BUILD,W13,2,Async/Await,Promises (CRITICAL).,"Codecademy: Learn JavaScript (Async Section)",Course,"Vital for frontend fetching data from backend.","https://www.codecademy.com/learn/introduction-to-javascript",,
PHASE 4: SAAS BUILD,W13,3,Array Methods,".map(), .filter(), .reduce().","Codecademy: Learn JavaScript (Arrays)",Course,"You will use .map to render lists of components constantly.","https://www.codecademy.com/learn/introduction-to-javascript",,
PHASE 4: SAAS BUILD,W13,4,React Basics,"Components, Props, JSX.","Codecademy: Learn React (Intro)",Course,"The building blocks of your UI.","https://www.codecademy.com/learn/react-101",,
PHASE 4: SAAS BUILD,W13,5,React Hooks,"useState, useEffect.","Codecademy: Learn React (Hooks)",Course,"The logic layer of your UI.","https://www.codecademy.com/learn/react-101",,
PHASE 4: SAAS BUILD,W13,6,BUILD DAY,Dashboard shell component.,"Project: Tour Harmony UI Shell",Project,"Apply React components to build the layout.",,,
PHASE 4: SAAS BUILD,W14,1,App Router,"page.tsx, layout.tsx.","Udemy: Next.js 14 & React - The Complete Guide",Course,"Focus on the App Router section (not Pages router).","https://www.udemy.com/course/nextjs-react-the-complete-guide/",,
PHASE 4: SAAS BUILD,W14,2,Components,Server vs Client Components.,"Next.js Docs: Rendering",Docs,"Best explanation of when to use use client.","https://nextjs.org/docs/app/building-your-application/rendering",,
PHASE 4: SAAS BUILD,W14,3,Data Fetching,"Server-side, caching.","Udemy: Next.js 14 (Data Fetching Section)",Course,"How to get DB data onto the screen fast.","https://www.udemy.com/course/nextjs-react-the-complete-guide/",,
PHASE 4: SAAS BUILD,W14,4,Server Actions,Form handling.,"Udemy: Next.js 14 (Server Actions Section)",Course,"The modern way to submit forms without APIs.","https://www.udemy.com/course/nextjs-react-the-complete-guide/",,
PHASE 4: SAAS BUILD,W14,5,Styling,Tailwind CSS basics.,"Udemy: Tailwind CSS From Scratch",Course,"Don't write CSS; learn utility classes.","https://www.udemy.com/course/tailwind-css-from-scratch/",,
PHASE 4: SAAS BUILD,W14,6,BUILD + TEST,Connect Dashboard + Playwright.,"Project: UI connected to API",Project,"CTO TASK: Spec the E2E tests, let AI write them.",,,
PHASE 4: SAAS BUILD,W15,1,Auth Providers,Clerk/Supabase Auth.,"Udemy: Next.js 14 (Authentication Section)",Course,"Usually covers NextAuth or Clerk.","https://www.udemy.com/course/nextjs-react-the-complete-guide/",,
PHASE 4: SAAS BUILD,W15,2,OAuth Integration,"Google, GitHub.","Docs: Clerk/Supabase Auth Docs",Docs,"Specific to the provider you chose on Day 1.","https://clerk.com/docs",,
PHASE 4: SAAS BUILD,W15,3,RBAC,Admin vs Member vs Viewer.,"Codecademy: Cybersecurity (Access Control)",Course,"Theory of Roles.","https://www.codecademy.com/learn/introduction-to-cybersecurity",,
PHASE 4: SAAS BUILD,W15,4,Org Mgmt,Organization management.,"Docs: Clerk Organizations",Docs,"If using Clerk, this is built-in. Read the docs.","https://clerk.com/docs/organizations/overview",,
PHASE 4: SAAS BUILD,W15,5,Middleware,Protecting routes.,"Next.js Docs: Middleware",Docs,"How to redirect logged-out users away from the dashboard.","https://nextjs.org/docs/app/building-your-application/routing/middleware",,
PHASE 4: SAAS BUILD,W15,6,BUILD DAY,Wire auth into SaaS Dashboard.,"Project: Login actually works now",Project,"Locked doors. Only users get in.",,,
PHASE 4: SAAS BUILD,W16,1,Stripe Basics,"Products, Prices, Customers.","Udemy: Stripe Payments with React & Node",Course,"Understand the Stripe object model.","https://www.udemy.com/course/stripe-payments-react-node/",,
PHASE 4: SAAS BUILD,W16,2,Checkout,Hosted vs Embedded.,"Stripe Docs: Checkout",Docs,"Look at the Pre-built Checkout page guide.","https://docs.stripe.com/checkout",,
PHASE 4: SAAS BUILD,W16,3,Webhooks,Payment success/fail handling.,"Udemy: Stripe Payments (Webhooks Section)",Course,"Connects back to W2 D3 (Webhooks) - now for money.","https://www.udemy.com/course/stripe-payments-react-node/",,
PHASE 4: SAAS BUILD,W16,4,Monitoring,"Sentry, BetterStack.","Sentry Docs: Next.js SDK",Docs,"How to track crashes in production.","https://docs.sentry.io/platforms/javascript/guides/nextjs/",,
PHASE 4: SAAS BUILD,W16,5,CI/CD,Automated deployment pipeline.,"Udemy: GitHub Actions - The Complete Guide",Course,"Automate the git push to deploy flow.","https://www.udemy.com/course/github-actions-the-complete-guide/",,
PHASE 4: SAAS BUILD,W16,6,BUILD DAY,"Connect Stripe, deploy staging.","Project: You can now take money",Project,"The Buy button works.",,,
PHASE 4: SAAS BUILD,W17,1,E2E Testing,End-to-end testing polish.,"Docs: Playwright Documentation",Docs,"Review assertions to ensure tests are strict.","https://playwright.dev/docs/intro",,
PHASE 4: SAAS BUILD,W17,2,Bug Fixes,Edge cases.,"Action: Review Sentry Logs",Action,"Fix the errors you set up tracking for in W16.",,,
PHASE 4: SAAS BUILD,W17,3,UI Polish,"Loading states, error handling.","Codecademy: Learn React (Suspense/Error Boundaries)",Course,"Make it feel professional, not glitchy.","https://www.codecademy.com/learn/react-101",,
PHASE 4: SAAS BUILD,W17,4,Deploy,Deploy to production.,"Vercel/Railway: Production Checklist",Action,"Flip the switch.","https://vercel.com/docs/deployments/production-checklist",,
PHASE 4: SAAS BUILD,W17,5,Onboard,Onboard beta users (3-5).,"Action: Manual Sales/Onboarding",Action,"Get humans to click the buttons.",,,
PHASE 4: SAAS BUILD,W17,6,Feedback,"Collect feedback, prioritize v1.1.","Action: User Interviews",Action,"Listen to what broke.",,,